1.72e+06	4.56958e+06	6.20542e+06	-3.70782e+08	-1.19116e+08
1.73e+06	4.60442e+06	6.08792e+06	-3.73608e+08	-1.09582e+08
1.74e+06	4.63625e+06	5.9695e+06	-3.76191e+08	-9.99732e+07
1.75e+06	4.66506e+06	5.85024e+06	-3.78529e+08	-9.02964e+07
1.76e+06	4.69081e+06	5.73022e+06	-3.80619e+08	-8.05575e+07
1.77e+06	4.71349e+06	5.60951e+06	-3.82459e+08	-7.07627e+07
1.78e+06	4.73308e+06	5.48818e+06	-3.84048e+08	-6.09183e+07
1.79e+06	4.74955e+06	5.36633e+06	-3.85385e+08	-5.10309e+07
1.8e+06	4.7629e+06	5.24402e+06	-3.86468e+08	-4.11067e+07
1.81e+06	4.7731e+06	5.12134e+06	-3.87295e+08	-3.11523e+07
1.82e+06	4.78015e+06	4.99837e+06	-3.87867e+08	-2.11743e+07
1.83e+06	4.78403e+06	4.87519e+06	-3.88182e+08	-1.11791e+07
1.84e+06	4.78474e+06	4.75188e+06	-3.8824e+08	-1.17345e+06
1.85e+06	4.78227e+06	4.62852e+06	-3.8804e+08	8.83611e+06
1.86e+06	4.77662e+06	4.50519e+06	-3.87581e+08	1.88429e+07
1.87e+06	4.76778e+06	4.38198e+06	-3.86864e+08	2.88403e+07
1.88e+06	4.75576e+06	4.25897e+06	-3.85889e+08	3.88215e+07
1.89e+06	4.74056e+06	4.13624e+06	-3.84655e+08	4.87799e+07
1.9e+06	4.72219e+06	4.01388e+06	-3.83164e+08	5.87087e+07
1.91e+06	4.70064e+06	3.89196e+06	-3.81416e+08	6.86013e+07
1.92e+06	4.67593e+06	3.77057e+06	-3.79411e+08	7.84508e+07
1.93e+06	4.64808e+06	3.6498e+06	-3.77151e+08	8.82507e+07
1.94e+06	4.61708e+06	3.52972e+06	-3.74636e+08	9.79942e+07
1.95e+06	4.58297e+06	3.41041e+06	-3.71868e+08	1.07675e+08
1.96e+06	4.54576e+06	3.29197e+06	-3.68849e+08	1.17285e+08
1.97e+06	4.50546e+06	3.17446e+06	-3.65579e+08	1.2682e+08
1.98e+06	4.4621e+06	3.05798e+06	-3.62061e+08	1.36271e+08
1.99e+06	4.41571e+06	2.94261e+06	-3.58297e+08	1.45633e+08
2e+06	4.36631e+06	2.82841e+06	-3.54288e+08	1.54899e+08
2.01e+06	4.31393e+06	2.71548e+06	-3.50038e+08	1.64062e+08
2.02e+06	4.2586e+06	2.60389e+06	-3.45548e+08	1.73117e+08
