1.42e+07	49823.3	1.23192e+06	-1.07376e+11	-9.23991e+09	4.66782e+10	-1.42369e+11	2.26511e+11	1.50237e+10
1.43e+07	58908.1	1.22683e+06	-1.07627e+11	-5.73921e+09	4.3842e+10	-1.43269e+11	2.26647e+11	1.26096e+10
1.44e+07	67773.9	1.22155e+06	-1.07763e+11	-2.23243e+09	4.09886e+10	-1.44112e+11	2.26758e+11	1.01941e+10
1.45e+07	76417	1.2161e+06	-1.07786e+11	1.27672e+09	3.8119e+10	-1.44898e+11	2.26843e+11	7.77746e+09
1.46e+07	84834.1	1.21049e+06	-1.07694e+11	4.78452e+09	3.52343e+10	-1.45627e+11	2.26903e+11	5.35993e+09
1.47e+07	93022	1.20471e+06	-1.07488e+11	8.28725e+09	3.23357e+10	-1.46298e+11	2.26937e+11	2.94179e+09
1.48e+07	100978	1.19878e+06	-1.07168e+11	1.17812e+10	2.94244e+10	-1.46912e+11	2.26944e+11	5.2332e+08
1.49e+07	108699	1.19271e+06	-1.06734e+11	1.52627e+10	2.65014e+10	-1.47468e+11	2.26927e+11	-1.89521e+09
1.5e+07	116183	1.1865e+06	-1.06188e+11	1.8728e+10	2.3568e+10	-1.47965e+11	2.26883e+11	-4.31353e+09
1.51e+07	123429	1.18016e+06	-1.05529e+11	2.21735e+10	2.06253e+10	-1.48405e+11	2.26814e+11	-6.73135e+09
1.52e+07	130434	1.17371e+06	-1.04758e+11	2.55955e+10	1.76744e+10	-1.48785e+11	2.26718e+11	-9.14841e+09
1.53e+07	137196	1.16714e+06	-1.03877e+11	2.89904e+10	1.47166e+10	-1.49107e+11	2.26598e+11	-1.15644e+10
1.54e+07	143716	1.16048e+06	-1.02885e+11	3.23547e+10	1.1753e+10	-1.4937e+11	2.26451e+11	-1.39791e+10
1.55e+07	149991	1.15372e+06	-1.01785e+11	3.56847e+10	8.78471e+09	-1.49574e+11	2.26278e+11	-1.63923e+10
1.56e+07	156022	1.14687e+06	-1.00577e+11	3.8977e+10	5.81297e+09	-1.4972e+11	2.2608e+11	-1.88035e+10
1.57e+07	161807	1.13995e+06	-9.92625e+10	4.2228e+10	2.83894e+09	-1.49806e+11	2.25857e+11	-2.12126e+10
1.58e+07	167347	1.13296e+06	-9.78432e+10	4.54344e+10	-1.36216e+08	-1.49833e+11	2.25607e+11	-2.36193e+10
1.59e+07	172642	1.1259e+06	-9.63204e+10	4.85928e+10	-3.11131e+09	-1.498e+11	2.25332e+11	-2.60233e+10
1.6e+07	177693	1.1188e+06	-9.46958e+10	5.16998e+10	-6.08519e+09	-1.49709e+11	2.25031e+11	-2.84244e+10
1.61e+07	182499	1.11165e+06	-9.29711e+10	5.47521e+10	-9.05666e+09	-1.49559e+11	2.24705e+11	-3.08222e+10
1.62e+07	187063	1.10446e+06	-9.11482e+10	5.77466e+10	-1.20246e+10	-1.49349e+11	2.24353e+11	-3.32165e+10
1.63e+07	191385	1.09724e+06	-8.9229e+10	6.06801e+10	-1.49877e+10	-1.49081e+11	2.23975e+11	-3.56071e+10
1.64e+07	195466	1.09001e+06	-8.72155e+10	6.35495e+10	-1.79449e+10	-1.48754e+11	2.23572e+11	-3.79936e+10
1.65e+07	199309	1.08276e+06	-8.51099e+10	6.63517e+10	-2.08951e+10	-1.48368e+11	2.23144e+11	-4.03757e+10
1.66e+07	202916	1.0755e+06	-8.29144e+10	6.90839e+10	-2.3837e+10	-1.47923e+11	2.2269e+11	-4.27533e+10
1.67e+07	206288	1.06825e+06	-8.06313e+10	7.17431e+10	-2.67695e+10	-1.4742e+11	2.22211e+11	-4.5126e+10
1.68e+07	209429	1.061e+06	-7.82631e+10	7.43266e+10	-2.96914e+10	-1.46859e+11	2.21706e+11	-4.74935e+10
1.69e+07	212340	1.05377e+06	-7.58123e+10	7.68316e+10	-3.26017e+10	-1.4624e+11	2.21176e+11	-4.98557e+10
1.7e+07	215025	1.04657e+06	-7.32815e+10	7.92555e+10	-3.5499e+10	-1.45564e+11	2.20622e+11	-5.22122e+10
1.71e+07	217486	1.03939e+06	-7.06733e+10	8.15958e+10	-3.83824e+10	-1.4483e+11	2.20041e+11	-5.45627e+10
1.72e+07	219728	1.03225e+06	-6.79906e+10	8.385e+10	-4.12506e+10	-1.44038e+11	2.19436e+11	-5.6907e+10
1.73e+07	221753	1.02516e+06	-6.52361e+10	8.60157e+10	-4.41025e+10	-1.4319e+11	2.18806e+11	-5.92448e+10
1.74e+07	223566	1.01811e+06	-6.24128e+10	8.80907e+10	-4.6937e+10	-1.42286e+11	2.18151e+11	-6.15759e+10
1.75e+07	225170	1.01112e+06	-5.95236e+10	9.00727e+10	-4.9753e+10	-1.41325e+11	2.17471e+11	-6.38999e+10
1.76e+07	226569	1.0042e+06	-5.65717e+10	9.19597e+10	-5.25493e+10	-1.40308e+11	2.16766e+11	-6.62167e+10
1.77e+07	227768	997342	-5.35601e+10	9.37498e+10	-5.53249e+10	-1.39236e+11	2.16037e+11	-6.85259e+10
1.78e+07	228771	990560	-5.0492e+10	9.5441e+10	-5.80787e+10	-1.38109e+11	2.15283e+11	-7.08273e+10
1.79e+07	229583	983857	-4.73707e+10	9.70315e+10	-6.08096e+10	-1.36928e+11	2.14504e+11	-7.31207e+10
1.8e+07	230208	977240	-4.41994e+10	9.85197e+10	-6.35164e+10	-1.35693e+11	2.13701e+11	-7.54057e+10
1.81e+07	230652	970714	-4.09816e+10	9.99041e+10	-6.61982e+10	-1.34404e+11	2.12874e+11	-7.7682e+10
1.82e+07	230919	964283	-3.77205e+10	1.01183e+11	-6.88539e+10	-1.33062e+11	2.12022e+11	-7.99496e+10
1.83e+07	231016	957953	-3.44196e+10	1.02356e+11	-7.14823e+10	-1.31667e+11	2.11146e+11	-8.2208e+10
1.84e+07	230947	951727	-3.10825e+10	1.0342e+11	-7.40826e+10	-1.3022e+11	2.10246e+11	-8.4457e+10
1.85e+07	230717	945611	-2.77126e+10	1.04376e+11	-7.66536e+10	-1.28722e+11	2.09322e+11	-8.66964e+10
1.86e+07	230333	939608	-2.43136e+10	1.05221e+11	-7.91944e+10	-1.27174e+11	2.08374e+11	-8.89259e+10
1.87e+07	229800	933723	-2.08888e+10	1.05956e+11	-8.17039e+10	-1.25575e+11	2.07402e+11	-9.11452e+10
1.88e+07	229123	927958	-1.74421e+10	1.06579e+11	-8.41811e+10	-1.23926e+11	2.06407e+11	-9.33541e+10
1.89e+07	228310	922318	-1.3977e+10	1.07089e+11	-8.66251e+10	-1.22229e+11	2.05388e+11	-9.55524e+10
